"","Compound.Name","LRI_avg_all","RI2_all","relative_LRI","relative_LRI2"
"1","4-methoxy-benzaldehyde",1268.05334345682,0.677458892003249,5.25302361062089,2.64806182731874
"2","chrysene-d",2520.07271557272,0.475038671517278,10.439625070738,1.85683852908831
"3","d-anthraquinone",2010.83209384696,0.616810811900138,8.33005056173493,2.41099967090313
"4","d-C10 acid, TMS",1465.3752660931,0.0530177047944044,6.07044720234125,0.207236427029498
"5","d-C15 alcohol, TMS",1869.39079931455,0.198903688241105,7.74411743555424,0.777477822435387
"6","d-C22 acid, TMS",2647.72867100537,0.0509765200075434,10.9684512052097,0.199257812267195
"7","d-C6diacid",1524.51683212225,0.204857904157756,6.31544639289055,0.8007517539855
"8","d-cholestane",2912.72178513294,0.057211771014093,12.0662087186036,0.223630258136746
"9","d-cholesterol",3201.18487394958,0.0627263314024037,13.2611926868771,0.24518565733676
"10","d-pyrene",2164.91627148799,0.424703439093926,8.96835795420228,1.66008739167929
"11","dC16",1600,0.246145317399028,6.62814212064703,0.962136635405614
"12","dC18",1800,0.228700784212966,7.45665988572791,0.893949173449349
"13","dC20",2000,0.212425551263591,8.28517765080879,0.830332290399041
"14","dC22",2200.53845329754,0.180949192784666,9.11592600650307,0.707297012044997
"15","dC24",2400.50224650671,0.193782967208797,9.94429378173684,0.757461868620234
"16","dC26",2600.6503376805,0.17125924215204,10.7734250276594,0.669420782680021
"17","dC28",2800,0.161941873041446,11.5992487111323,0.633000905748675
"18","dC30",3000.40255879386,0.147553704289474,12.4294341117742,0.576760208509538
"19","dC32",3200,0.121867376148841,13.2562842412941,0.476357090569701
"20","dC34",3400,0.104397040959557,14.0848020063749,0.408068773342939
"21","dC36",3600,0.0324743803169571,14.9133197714558,0.126936361598089
"22","dibenzanthracene-d",3266.66666666667,0.670241202481371,13.5324568296544,2.61984921053869
"23","pentaerythritol-C13",1525.87800217368,0.227660241033653,6.32108516073507,0.889881882126816
"24","perylene-d",2955.35578637315,0.618862836062803,12.2428238557236,2.41902065478574
