"","Compound.Name","File_num","LRI_avg","RI2"
"72","d-cholestane","20200731_0304_5",2912.5,0.0185578188448413
"73","d-cholestane","20200731_0453_.5",2912.5,0.0741675385123545
"74","d-cholestane","20200731_0641_2.5",2912.5,0.073639072032268
"75","d-cholestane","20200731_0830_1",2913.40206185567,0.0678149136227352
"76","d-cholestane","20200806_2240_10",2912.63157894737,0.0678938028087825
"77","d-cholestane","20200807_0218_5",2912.5,0.0679748492113388
"78","d-cholestane","20200807_0406_.5",2912.5,0.0576913875004587
"79","d-cholestane","20200807_0555_2.5",2912.5,0.0577774359117273
"80","d-cholestane","20200807_0744_1",2913.68421052632,0.0677151753069675
"81","d-cholesterol","20200730_2327_10",3200,0.00864924227008268
"82","d-cholesterol","20200731_0304_5",3202.35294117647,0.00192908248091006
"83","d-cholesterol","20200731_0453_.5",3200,0.0946735220306528
"84","d-cholesterol","20200731_0641_2.5",3202.35294117647,0.083882626889987
"85","d-cholesterol","20200731_0830_1",3200,0.0880940176806899
"86","d-cholesterol","20200806_2240_10",3200,0.0782191446780331
"87","d-cholesterol","20200807_0218_5",3202.38095238095,0.0679748492113388
"88","d-cholesterol","20200807_0406_.5",3202.38095238095,0.0680190057875042
"89","d-cholesterol","20200807_0555_2.5",3202.38095238095,0.0681066476878704
"90","d-cholesterol","20200807_0744_1",3200,0.0677151753069675
"91","d-pyrene","20200730_2327_10",2163.63636363636,0.359863826027355
"92","d-pyrene","20200731_0304_5",2165.15151515152,0.36044985568156
"93","d-pyrene","20200731_0453_.5",2164.88549618321,0.443275241841725
"94","d-pyrene","20200731_0641_2.5",2164.88549618321,0.442407046910155
"95","d-pyrene","20200731_0830_1",2163.90977443609,0.463257442752854
"96","d-pyrene","20200806_2240_10",2164.88549618321,0.429280768232553
"97","d-pyrene","20200807_0218_5",2164.88549618321,0.439740205058761
"98","d-pyrene","20200807_0406_.5",2166.15384615385,0.439813264121143
"99","d-pyrene","20200807_0555_2.5",2164.61538461538,0.439958271629022
"100","d-pyrene","20200807_0744_1",2166.15384615385,0.428988468684129
"101","dC16","20200730_2327_10",1600,0.325979939970654
"102","dC16","20200731_0304_5",1600,0.325861338731113
"103","dC16","20200731_0453_.5",1600,0.233422214262121
"104","dC16","20200731_0641_2.5",1600,0.233667573699304
"105","dC16","20200731_0830_1",1600,0.22623209521761
"106","dC16","20200806_2240_10",1600,0.221215769530234
"107","dC16","20200807_0218_5",1600,0.221175983114434
"108","dC16","20200807_0406_.5",1600,0.221154306249771
"109","dC16","20200807_0555_2.5",1600,0.231440493820279
"110","dC16","20200807_0744_1",1600,0.221303459394761
"111","dC18","20200730_2327_10",1800,0.305506991731908
"112","dC18","20200731_0304_5",1800,0.305374437405361
"113","dC18","20200731_0453_.5",1800,0.202663238984674
"114","dC18","20200731_0641_2.5",1800,0.213180463983866
"115","dC18","20200731_0830_1",1800,0.205952991159655
"116","dC18","20200806_2240_10",1800,0.210890427660983
"117","dC18","20200807_0218_5",1800,0.210849167674228
"118","dC18","20200807_0406_.5",1800,0.210826687962725
"119","dC18","20200807_0555_2.5",1800,0.210782070267993
"120","dC18","20200807_0744_1",1800,0.210981365298271
"121","dC20","20200730_2327_10",2000,0.285034043493161
"122","dC20","20200731_0304_5",2000,0.28488753607961
"123","dC20","20200731_0453_.5",2000,0.192410247225524
"124","dC20","20200731_0641_2.5",2000,0.192693354268428
"125","dC20","20200731_0830_1",2000,0.195813439130678
"126","dC20","20200806_2240_10",2000,0.200565085791733
"127","dC20","20200807_0218_5",2000,0.181569819053607
"128","dC20","20200807_0406_.5",2000,0.20049906967568
"129","dC20","20200807_0555_2.5",2000,0.190123646715707
"130","dC20","20200807_0744_1",2000,0.200659271201781
"131","dC22","20200730_2327_10",2200,0.0732425506849036
"132","dC22","20200731_0304_5",2200,0.274644085416734
"133","dC22","20200731_0453_.5",2201.37741046832,0.182157255466375
"134","dC22","20200731_0641_2.5",2201.02564102564,0.182449799410709
"135","dC22","20200731_0830_1",2200,0.1856738871017
"136","dC22","20200806_2240_10",2200,0.150496537762787
"137","dC22","20200807_0218_5",2200,0.190195536793815
"138","dC22","20200807_0406_.5",2201.48148148148,0.190171451388634
"139","dC22","20200807_0555_2.5",2200,0.190123646715707
"140","dC22","20200807_0744_1",2201.5,0.19033717710529
"141","dC24","20200730_2327_10",2400,0.264561095254415
"142","dC24","20200731_0304_5",2401.5625,0.264400634753859
"143","dC24","20200731_0453_.5",2400,0.182157255466375
"144","dC24","20200731_0641_2.5",2401.8018018018,0.17220624455299
"145","dC24","20200731_0830_1",2401.65816326531,0.165394783043745
"146","dC24","20200806_2240_10",2400,0.179914402053232
"147","dC24","20200807_0218_5",2400,0.169541905913403
"148","dC24","20200807_0406_.5",2400,0.179843833101589
"149","dC24","20200807_0555_2.5",2400,0.179794434939564
"150","dC24","20200807_0744_1",2400,0.1800150830088
